contractor,level,expat,kenyan-NT,kenyan-T,sub-total,total,%-expat 1,%-NT 1,%-T 1
AFEX Group,Director,0,0,0,0,0,0,0,0
AFEX Group,Management,1,9,0,9,10,10,90,0
AFEX Group,Skilled,0,11,3,14,14,0,100,21
AFEX Group,Semi-skilled,0,2,2,4,4,0,100,50
AFEX Group,Unskilled,0,1,41,42,42,0,100,98
GGS,Director,0,0,0,0,0,0,0,0
GGS,Management,1,0,0,0,1,100,0,0
GGS,Skilled,22,2,2,4,26,85,15,8
GGS,Semi-skilled,0,0,35,35,35,0,100,100
GGS,Unskilled,0,0,32,32,32,0,0,100
ROLSS,Director,0,0,0,0,0,0,0,0
ROLSS,Management,0,0,0,0,0,0,0,0
ROLSS,Skilled,3,41,0,41,44,7,93,0
ROLSS,Semi-skilled,0,5,24,29,29,0,100,83
ROLSS,Unskilled,0,0,0,0,0,0,0,0
Baker Hughes,Director,1,0,0,0,1,0,0,0
Baker Hughes,Management,5,1,0,1,6,83,17,0
Baker Hughes,Skilled,60,30,0,30,90,67,33,0
Baker Hughes,Semi-skilled,0,0,0,0,0,0,0,0
Baker Hughes,Unskilled,0,0,0,0,0,0,0,0
Citiscape,Director,0,0,0,0,0,0,0,0
Citiscape,Management,0,0,0,0,0,0,0,0
Citiscape,Skilled,0,8,0,8,8,0,100,0
Citiscape,Semi-skilled,0,0,0,0,0,0,0,0
Citiscape,Unskilled,0,0,0,0,0,0,0,0
Earthview,Director,0,0,0,0,0,0,0,0
Earthview,Management,0,2,0,2,2,0,100,0
Earthview,Skilled,0,21,0,21,21,0,100,0
Earthview,Semi-skilled,0,0,0,0,0,0,0,0
Earthview,Unskilled,0,0,0,0,0,0,0,0
Freight Forwarders,Director,0,0,0,0,0,0,0,0
Freight Forwarders,Management,0,0,0,0,0,0,0,0
Freight Forwarders,Skilled,0,122,0,122,122,0,100,0
Freight Forwarders,Semi-skilled,0,0,0,0,0,0,0,0
Freight Forwarders,Unskilled,0,0,0,0,0,0,0,0
KK Security,Director,0,1,0,1,1,0,100,0
KK Security,Management,1,0,1,1,2,50,50,50
KK Security,Skilled,0,3,63,66,66,0,100,95
KK Security,Semi-skilled,0,0,23,23,23,0,100,100
KK Security,Unskilled,0,0,0,0,0,0,0,0
Kurrent Technologies,Director,0,0,0,0,0,0,0,0
Kurrent Technologies,Management,0,0,0,0,0,0,0,0
Kurrent Technologies,Skilled,0,11,1,12,12,0,100,8
Kurrent Technologies,Semi-skilled,0,0,3,3,3,0,100,100
Kurrent Technologies,Unskilled,0,0,0,0,0,0,0,0
New Edge Solutions,Director,0,0,0,0,0,0,0,0
New Edge Solutions,Management,0,1,0,1,1,0,100,0
New Edge Solutions,Skilled,0,10,0,10,10,0,100,0
New Edge Solutions,Semi-skilled,0,6,0,6,6,0,100,0
New Edge Solutions,Unskilled,0,3,0,3,3,0,100,0
Ardan,Director,0,0,0,0,0,0,0,0
Ardan,Management,3,5,0,5,8,38,63,0
Ardan,Skilled,9,101,20,121,130,7,93,15
Ardan,Semi-skilled,0,0,92,92,92,0,0,100
Ardan,Unskilled,0,0,87,87,87,0,0,100
Sakson,Director,0,0,0,0,0,0,0,0
Sakson,Management,17,0,0,0,17,100,0,0
Sakson,Skilled,41,2,0,2,43,95,5,0
Sakson,Semi-skilled,14,0,0,0,14,100,0,0
Sakson,Unskilled,14,0,38,38,52,27,0,73
Spica Marine Inspections,Director,0,0,0,0,0,0,0,0
Spica Marine Inspections,Management,0,4,0,4,4,0,100,0
Spica Marine Inspections,Skilled,0,32,0,32,32,0,100,0
Spica Marine Inspections,Semi-skilled,0,0,0,0,0,0,0,0
Spica Marine Inspections,Unskilled,0,0,0,0,0,0,0,0
TAI,Director,0,0,0,0,0,0,0,0
TAI,Management,0,10,3,13,13,0,100,23
TAI,Skilled,0,20,10,30,30,0,100,33
TAI,Semi-skilled,0,17,0,17,17,0,100,0
TAI,Unskilled,0,5,29,34,34,0,100,85
Weatherford,Director,0,0,0,0,0,0,0,0
Weatherford,Management,24,0,0,0,24,100,0,0
Weatherford,Skilled,0,1,1,2,2,0,100,50
Weatherford,Semi-skilled,0,34,17,51,51,0,100,33
Weatherford,Unskilled,0,0,28,28,28,0,100,100
Alpha Logisitcs,Director,0,0,0,0,0,0,0,0
Alpha Logisitcs,Management,0,0,0,0,0,0,0,0
Alpha Logisitcs,Skilled,2,13,0,13,15,13,87,0
Alpha Logisitcs,Semi-skilled,0,0,0,0,0,0,0,0
Alpha Logisitcs,Unskilled,0,0,0,0,0,0,0,0
Halliburton,Director,0,0,0,0,0,0,0,0
Halliburton,Management,1,0,0,0,1,100,0,0
Halliburton,Skilled,0,0,0,0,0,0,0,0
Halliburton,Semi-skilled,0,0,0,0,0,0,0,0
Halliburton,Unskilled,0,0,0,0,0,0,0,0
PR Marriot,Director,0,0,0,0,0,0,0,0
PR Marriot,Management,10,0,0,0,10,0,0,0
PR Marriot,Skilled,24,3,1,10,34,71,29,3
PR Marriot,Semi-skilled,0,8,0,2,2,0,0,0
PR Marriot,Unskilled,0,0,10,10,10,0,0,0
Newport,Director,1,0,0,0,1,0,0,0
Newport,Management,11,0,0,0,11,0,0,0
Newport,Skilled,0,0,12,12,12,0,100,100
Newport,Semi-skilled,0,0,19,19,19,0,0,100
Newport,Unskilled,0,0,71,71,71,0,0,100
Schlumberger,Director,0,0,0,0,0,0,0,0
Schlumberger,Management,9,0,0,0,9,0,0,0
Schlumberger,Skilled,72,29,0,29,101,71,29,0
Schlumberger,Semi-skilled,0,9,0,9,9,0,0,0
Schlumberger,Unskilled,0,0,0,0,0,0,0,0
Tullow/ROLSS,Director,0,0,0,0,0,0,0,0
Tullow/ROLSS,Management,0,0,0,0,0,0,0,0
Tullow/ROLSS,Skilled,0,0,0,0,0,0,0,0
Tullow/ROLSS,Semi-skilled,0,0,0,0,0,0,0,0
Tullow/ROLSS,Unskilled,0,0,147,147,147,0,0,100
BGP,Director,0,0,0,0,0,0,0,0
BGP,Management,0,0,0,0,0,0,0,0
BGP,Skilled,31,128,62,190,221,14,86,28
BGP,Semi-skilled,0,33,73,106,106,0,0,69
BGP,Unskilled,0,3,65,68,68,0,0,96
TransEast,Director,0,0,0,0,0,0,0,0
TransEast,Management,0,0,0,0,0,0,0,0
TransEast,Skilled,0,10,0,10,10,0,100,0
TransEast,Semi-skilled,0,0,0,0,0,0,0,0
TransEast,Unskilled,0,0,0,0,0,0,0,0
All,Director,2,1,0,1,3,67,33,0
All,Management,83,32,4,36,119,70,30,3
All,Skilled,264,604,175,779,1043,25,75,17
All,Semi-skilled,14,108,288,396,410,3,97,70
All,Unskilled,14,12,548,560,574,2,98,95
